Fecha,Tipo_Bicicleta,Cantidad_Vendida,Precio_USD,Segmento_Cliente,Region
2024-04-08,Ruta,9,1060,Senior,Centro
2024-04-09,Montaña,4,446,Joven,Norte
2024-04-10,Urbana,1,1299,Adulto,Centro
2024-04-11,Ruta,2,353,Senior,Norte
2024-04-12,Ruta,1,1879,Senior,Norte
2024-04-13,Eléctrica,5,1658,Adulto,Centro
2024-04-14,Ruta,5,1196,Adulto,Centro
2024-04-15,Ruta,7,1309,Senior,Norte
2024-04-16,Ruta,9,896,Senior,Centro
2024-04-17,Eléctrica,9,1508,Adulto,Norte
2024-04-18,Ruta,3,1443,Senior,Centro
2024-04-19,Urbana,3,1292,Joven,Sur
2024-04-20,Eléctrica,3,1270,Joven,Sur
2024-04-21,Urbana,4,1208,Adulto,Sur
2024-04-22,Eléctrica,8,293,Adulto,Sur
2024-04-23,Ruta,6,1973,Adulto,Sur
2024-04-24,Urbana,8,1157,Joven,Norte
2024-04-25,Eléctrica,1,1211,Senior,Sur
2024-04-26,Montaña,8,652,Joven,Sur
2024-04-27,Ruta,4,1427,Senior,Sur
2024-04-28,Eléctrica,1,1111,Joven,Sur
2024-04-29,Montaña,8,417,Senior,Centro
2024-04-30,Eléctrica,4,673,Joven,Norte
2024-05-01,Montaña,6,631,Adulto,Sur
2024-05-02,Ruta,8,540,Joven,Sur
2024-05-03,Urbana,4,750,Senior,Sur
2024-05-04,Montaña,3,1835,Joven,Norte
2024-05-05,Eléctrica,9,1512,Joven,Centro
2024-05-06,Ruta,3,1477,Joven,Norte
2024-05-07,Montaña,9,1957,Adulto,Centro
2024-05-08,Eléctrica,2,556,Joven,Sur
2024-05-09,Eléctrica,2,222,Adulto,Sur
2024-05-10,Eléctrica,2,1985,Adulto,Norte
2024-05-11,Montaña,6,721,Joven,Norte
2024-05-12,Montaña,3,1981,Joven,Centro
2024-05-13,Montaña,9,1323,Joven,Centro
2024-05-14,Urbana,4,1001,Senior,Norte
2024-05-15,Montaña,1,1403,Joven,Centro
2024-05-16,Montaña,4,1446,Adulto,Norte
2024-05-17,Montaña,1,961,Joven,Centro
2024-05-18,Urbana,5,1882,Senior,Norte
2024-05-19,Montaña,4,641,Joven,Norte
2024-05-20,Eléctrica,8,1831,Senior,Norte
2024-05-21,Montaña,8,968,Senior,Centro
2024-05-22,Eléctrica,7,1215,Joven,Centro
2024-05-23,Eléctrica,3,1548,Adulto,Centro
2024-05-24,Eléctrica,1,715,Senior,Norte
2024-05-25,Urbana,1,1239,Joven,Centro
2024-05-26,Urbana,3,991,Joven,Centro
2024-05-27,Urbana,6,535,Adulto,Norte
2024-05-28,Montaña,7,1982,Senior,Sur
2024-05-29,Eléctrica,6,457,Senior,Norte
2024-05-30,Urbana,6,696,Joven,Centro
2024-05-31,Urbana,6,1095,Joven,Norte
2024-06-01,Montaña,3,359,Adulto,Sur
2024-06-02,Urbana,6,1698,Adulto,Norte
2024-06-03,Montaña,8,1051,Senior,Centro
2024-06-04,Ruta,2,1887,Senior,Sur
2024-06-05,Urbana,5,889,Joven,Centro
2024-06-06,Ruta,1,1898,Senior,Sur
2024-06-07,Montaña,1,579,Adulto,Sur
2024-06-08,Eléctrica,5,1768,Adulto,Norte
2024-06-09,Urbana,3,1156,Joven,Norte
2024-06-10,Montaña,4,890,Adulto,Centro
2024-06-11,Eléctrica,3,1650,Adulto,Norte
2024-06-12,Eléctrica,1,1836,Adulto,Norte
2024-06-13,Ruta,1,1491,Adulto,Sur
2024-06-14,Montaña,5,1800,Joven,Norte
2024-06-15,Eléctrica,6,1640,Joven,Sur
2024-06-16,Urbana,3,1391,Senior,Sur
2024-06-17,Urbana,9,1266,Adulto,Sur
2024-06-18,Ruta,5,1779,Senior,Centro
2024-06-19,Eléctrica,8,484,Joven,Centro
2024-06-20,Montaña,1,596,Joven,Centro
2024-06-21,Urbana,5,211,Joven,Sur
2024-06-22,Eléctrica,3,1830,Joven,Centro
2024-06-23,Eléctrica,1,1525,Joven,Centro
2024-06-24,Ruta,4,1476,Joven,Norte
2024-06-25,Urbana,5,698,Joven,Centro
2024-06-26,Urbana,7,953,Adulto,Centro
2024-06-27,Montaña,1,234,Senior,Sur
2024-06-28,Urbana,3,926,Joven,Sur
2024-06-29,Montaña,2,1048,Adulto,Sur
2024-06-30,Urbana,9,289,Adulto,Sur
2024-07-01,Ruta,6,975,Senior,Sur
2024-07-02,Urbana,3,804,Joven,Sur
2024-07-03,Montaña,8,1169,Senior,Centro
2024-07-04,Montaña,8,1825,Joven,Sur
2024-07-05,Ruta,2,1221,Adulto,Sur
2024-07-06,Urbana,6,617,Adulto,Norte
2024-07-07,Urbana,7,314,Adulto,Centro
2024-07-08,Ruta,2,816,Adulto,Centro
2024-07-09,Urbana,2,1419,Senior,Centro
2024-07-10,Urbana,1,1025,Joven,Sur
2024-07-11,Montaña,8,1724,Joven,Sur
2024-07-12,Urbana,1,1849,Senior,Sur
2024-07-13,Urbana,9,1716,Joven,Norte
2024-07-14,Ruta,6,1298,Adulto,Sur
2024-07-15,Ruta,7,612,Joven,Norte
2024-07-16,Eléctrica,7,1599,Adulto,Centro
2024-07-17,Montaña,3,1643,Senior,Sur
2024-07-18,Urbana,2,928,Joven,Norte
